counter,paper_id,Author,Journal,Inependent_Variable,Region,Country,Unit_of_analysis,Sample_size,Time_span,pop_density,Scopus_keywords,Def_pop_dens,Method,Countries,small_large
283,397,Kumru et al. (2021),The International Journal of Health Planning and Management,COVID-19 morbidity,World,World,countires,92,"December 31, 2019 - December 18, 2020",No association,COVID-19 pandemic; demography; health policy; socioeconomic factors; Aged; Global Health; Humans; Morbidity; Mortality; Population Density; SARS-CoV-2; Australia; New Zealand; Singapore; correlation; demography; elderly population; index method; morbidity; mortality; public health; smoking; socioeconomic conditions; spatiotemporal analysis,People per square kilometer of land area,Correlation analysis,"Australia, Austria, Bahrain, Bangladesh, Belarus, Belgium, Bulgaria, Canada, Chile, Croatia, Cuba, Cyprus, Czech Republic, Denmark, Dominican Republic, El Salvador, Estonia, Ethiopia, Fiji, Finland, France, Germany, Ghana, Greece, Guatemala, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Ivory Coast, Jamaica, Japan, Kazakhstan, Kenya, Kuwait, Latvia, Libya, Lithuania, Luxembourg, Madagascar, Malawi, Malaysia, Maldives, Malta, Mauritania, Mexico, Morocco, Mozambique, Myanmar, Namibia, Netherlands, New Zealand, Nigeria, Norway, Pakistan, Panama, Paraguay, Philippines, Poland, Portugal, Qatar, Romania, Russia, Rwanda, Saudi Arabia, Senegal, Serbia, Singapore, Slovakia, Slovenia, South Africa, South Korea, Spain, Sri Lanka, Sweden, Switzerland, Togo, Tunisia, Turkey, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States, Vietnam, Zambia, Zimbabwe",Small Geographical Areas
284,398,Tiro et al. (2021),Journal of Physics: Conference Series,Standardised Incidence Ratio,Asia,Indonesia,dristricts,15,March 19 2020 -  August 30 2021,No association,Bayesian spatial; Conditional autoregressive priors; Distance; Population density; Population distribution; Population dynamics; Population statistics; Risk assessment; Bayesian; Bayesian spatial; Conditional autoregressive; Conditional autoregressive prior; Coronaviruses; Distance; Population densities; Relative risks; Spatial analysis; Spatial modelling,People per square kilometer of land area,Bayesian regression ,Indonesia,Small Geographical Areas
285,399,Han et al. (2021),Environmental Research,"New confirmed cases per 100,000 people",World,World,countries,undefined,"March 1 - Nov 30, 2020",No association,Air pollutants; Boosted regression tree; COVID-19; GeoDetector; Meteorological variables; Socioeconomic aspects; Air Pollutants; Air Pollution; COVID-19; Humans; Ozone; Pandemics; Particulate Matter; SARS-CoV-2; Socioeconomic Factors; atmospheric pollution; atmospheric pressure; carbon monoxide;  disease transmission; global perspective; health expenditure; meteorological hazard; meteorology; relative humidity; socioeconomic conditions; wind velocity,People per square kilometer of land area,Correlation analysis,NA,Large Geographical Areas
286,400,Zhang et al. (2021),Journal of Environmental Management,New COVID- 19 cases,North America,United States,counties,3112,"March 23 - September 1, 2020",Positive,COVID-19 transmission; Machine learning; Random forest regression model; Social activity factor; Weather condition;  COVID-19; Humans; Humidity; SARS-CoV-2; Temperature; United States; Weather; United States;     climate conditions; disease spread; disease transmission; infectious disease; viral disease,People per square mile of land area,Machine learning model,United States,Small Geographical Areas
287,401,Fidan and Yuksel (2021),Expert Systems with Applications,Confirmed COVID-19 cases,Middle East,Turkey,Province,81,"February 20 - February 26, 2021",No association,Clustering; Covid-19; Gray relational clustering; Restrictions; Risk levels; Unsupervised machine learning; Health; Health risks; Machine learning; Population statistics;  Clusterings; Comparatives studies; Environmental variables; Gray relational clustering; Machine learning methods; Relational clustering; Restriction; Risk levels; Unsupervised machine learning,People per square kilometer of land area,Cluster analysis ,Turkey,Large Geographical Areas
288,402,Moore et al. (2021),Landscape and Urban Planning,Confirmed COVID-19 cases,Europe,England,Cases,10438,"March 2 - May 11, 2021",Positive,Bioecological model; Built environments; COVID-19; Exposure; Underlying susceptibility; Vulnerability; United Kingdom; cause of death; data set; disease severity; disease spread; exploration; health risk; risk factor; urban population; viral disease,People per square kilometer of land area,Cluster analysis,England,Others
289,403,Simoes et al. (2021),Preventive Medicine Reports,Confirmed COVID-19 cases,North America,United States,States,50,"January 20 - April 1, 2020",Positive,Associated factors; COVID-19; NB model; Poisson model; Prediction;  adult; air temperature; airport; Article; Black person; coronavirus disease 2019; demographics; environmental factor; epidemic; female; hospitalization; human; humidity; incidence; major clinical study; male; outcome assessment; population density; public health surveillance; race; resident; sun exposure; sunlight; United States,People per square mile of land area,Negative Binomial,United States,Large Geographical Areas
290,404,Xu et al. (2021),Sustainable Cities and Society,Confirmed COVID-19 cases,Asia,China,Districts,15,"February 3 - March 7, 2020",Positive,Covid-19; Geographically weighted regression (GWR); Self-reported cases; Urban planning; Urban sustainability; Population dynamics; Population statistics; Subway stations; Sustainable development; Urban planning;,People per street block,OLS,China,Small Geographical Areas
291,405,Lin et al. (2021),Environmental Research,Confirmed COVID-19 cases,Asia,China,Prefectures,279,"January 1 - February 19, 2020",Positive,Heterogeneity analysis; Moderating effects; The COVID-19; Two-way fixed effect; Weather conditions; China; Humans; SARS-CoV-2; Temperature; Weather; climate conditions; epidemic; panel data; public health,People per square kilometer of land area,OLS,China,Small Geographical Areas
292,406,Aral and Bakir (2021),Sustainable Cities and Society,Confirmed COVID-19 cases,Middle East,Turkey,Provinces,81,"February 8 - May 28, 2021",Positive,Coronavirus; pandemic; Spatial analysis; Spatial autocorrelation; Spatial statistics; Turkey; Autocorrelation; Population statistics; Regression analysis; Spatial variables measurement; Coronaviruses; Pandemic; Spatial analysis; Spatial associations; Spatial autocorrelations; Spatial dimension; Spatial regression model; Spatial statistics; Spatiotemporal analysis; Turkey,People per square kilometer of land area,OLS,Turkey,Large Geographical Areas
293,407,Tamrakar et al. (2021),PLOS One,Confirmed COVID-19 cases,Asia,India,Districts,640,"March 14 - October 31, 2020",Positive,Adolescent; Adult; COVID-19; Family Characteristics; Humans; India; Middle Aged; Pandemics; SARS-CoV-2; Socioeconomic Factors; Spatial Analysis; Urban Population; Young Adult; socioeconomics; spatial analysis; demography; disease association; female,People per square kilometer of land area,OLS,India,Small Geographical Areas
294,408,Beeler and Chakrabarty (2021),Enviromental Research Letters,Confirmed COVID-19 cases,North America,United States,Metro politan statistical areas,12,"March 1- April 30, 2020",Positive,PM2.5 ; air pollution; COVID-19; racial disparities; reproduction ratio; United States; Diseases; Population distribution; Population dynamics; Population statistics;Ambients; Basic reproduction ratios; Coronaviruses; County level;  Ethnic minorities;  Racial disparity; Reproduction ratio; disease spread; epidemiological phenomena; ethnic minority; infectious disease; methodology; metropolitan area; population density,People per square mile of land area,OLS,United States,Small Geographical Areas
295,409,Ulimwengu and Kibonge (2021),BMC Public Health,Confirmed COVID-19 cases,North America,United States,Counties,3142,"May 1 - December 15, 2020",No association,COVID-19; Healthcare; Housing; Minorities; Pre-existing conditions; Spatial spillovers; Transportation; Vulnerability index; Female; Humans; Male; Minority Groups; Pandemics; SARS-CoV-2; Social Class,People per square mile of land area,Spatial regression,United States,Small Geographical Areas
296,410,Ruksakulpiwat et al. (2021),Journal of Health Science and Medical Research,Confirmed COVID-19 cases,Asia,Thailand,Provices,76,"January 12 - November 30,  2020",Positive,Age; COVID-19; Population density; Public health; Sex,People per square kilometer of land area,Correlation analysis,Thailand,Large Geographical Areas
297,411,Chundeli et al. (2021),Indian Journal of Public Administration,Confirmed COVID-19 cases,Asia,India,Districts,693,"January 24, 2020 - March 17, 2021",Positive,"Population density, geospatial analysis, city planning, GIS",People per square kilometer of land area,Spatial regression,India,Small Geographical Areas
298,412,Ayodele et al. (2021),Scientific African,Confirmed COVID-19 cases,Africa,Nigeria,States,36,"March 1- August 10, 2020",No association,Absolute humidity; COVID-19; Nigeria; SIRD model; Temperature,People per square kilometer of land area,Correlation analysis,Nigeria,Large Geographical Areas
299,413,Martins-Filho (2021),Journal of Infection and Public Health,Incidence rate,South America,Brazil,Counties,75,"February 25, 2020 - January 27, 2021",Positive,COVID-19; Humans; Incidence; Population Density; SARS-CoV-2; Socioeconomic Factors; United States; vulnerable population,People per square kilometer of land area,Correlation analysis,Brazil,Small Geographical Areas
300,414,López-Gay et al. (2021),Journal of Epidemiology and Community Health,Confirmed COVID-19 cases,Europe,Spain,Neighborhoods,76,"March 9 - May 3, 2020",Positive,COVID-19; neighbourhood/place; public health; social inequalities; spatial analysis; Aged; Communicable Disease Control; Cross-Sectional Studies; Health Status Disparities; Humans; SARS-CoV-2; Sociodemographic Factors; isease incidence; mobility; population density; public health; risk factor; socioeconomic status,People per hectare (excl. forest parks),Poisson,Spain,Small Geographical Areas
301,415,Pekmezaris et al. (2021),Journal of Public Health,Confirmed COVID-19 cases,North America,United States,Counties,62,"March 1 - August 19, 2020",Positive,epidemiology; morbidity and mortality; social determinants; COVID-19; Cross-Sectional Studies; Humans; Incidence; Minority Groups; SARS-CoV-2; United States;,"100,000 people per square mile of land area",OLS,United States,Small Geographical Areas
302,416,Allen and McAleer (2021),Advances in Decision Sciences,Confirmed COVID-19 cases,North America,United States,States,52,"September 28, 2020 - March 21, 2021",Positive,"Risk management, Curve projection, Live data, Global pandemic, COVID 19, Lockdown, case fatality ratio; mortality",People per square mile of land area,OLS,United States,Large Geographical Areas
303,417,Nasiri et al (2021),GeoJournal,hospital COVID-19 cases,Middle East,Iran,Regions,22,"January 1 - September 15, 2020",Positive,Chronic diseases; COVID-19;Geographically weighted regression (GWR); Land-use; Tehran,People per square kilometer of land area,Spatial regression,Iran,Large Geographical Areas
304,418,Zhou et al (2021),Environment and Planning A: Economy and Space,Confirmed COVID-19 cases,Asia,China,Regions,18,"January 1, 2020 - February 28, 2021",Positive,activity centres; COVID-19; footprint; Hong Kong; population density; China; disease transmission; pandemic; population density,People per square kilometer of land area,Spatial regression,China,Large Geographical Areas
305,419,Ngepah (2021),African Development Review,cases per million,World,Africa,Countries,53,"February 14, 2020 - January 4, 2021",Negative,Africa; alcohol consumption; COVID-19; disease control; disease spread; epidemic; future prospect; hygiene; population density; sanitation,People per square kilometer of land area,Poisson,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cabo Verde, Cameroon, Central African Republic, Chad, Comoros, Republic of the Congo , Democratic Republic of the Congo , Ivory Coast, Djibouti, Egypt, Equatorial Guinea, Eritrea, Swaziland, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan,  Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia, Zimbabwe",Large Geographical Areas
306,420,Wang et al. (2021),BMC Infectious Diseases,Confirmed COVID-19 cases,Asia,China,Cities,34,"January 21 - February 24, 2020",Positive,"China; Communicable Disease Control; COVID-19; Disease Transmission, Infectious; Humans; Risk Assessment; Risk Factors; SARS-CoV-2; Social Determinants of Health; Socioeconomic Factors; Spatio-Temporal Analysis; Transients and Migrants; Urbanization; Labor export region; Socioeconomic risk factors; Spatiotemporal pattern",People per square kilometer of land area,Bayesian regression ,China,Small Geographical Areas
307,421,Yu et al. (2021),International Journal of Geo-Information,Confirmed COVID-19 cases,World,World,Countries,251,"December 31, 2019 - January 31, 2021",Positive,Bivariate spatial association analysis; COVID-19; Geographically weighted regression (GWR); Multivariate linear regression based on moran eigenvector spatial filtering model; PM2.5 concentration; Population density,People per square kilometer of land area,OLS,NA,Large Geographical Areas
308,422,Ali et al. (2021),Journal of Risk Research,Confirmed COVID-19 cases,North America,United States,Counties,3142,"January 20 - June 30, 2020",Positive,COVID-19; GIS; logistic regression; Pandemic; spatial analysis; vulnerability assessment;  Geographic information systems; Logistic regression; Mean square error; Population statistics; Correlation analysis; Elderly populations; Population densities; Root mean squared errors; Similarity analysis; Socio-economic impacts; Spatial correlations; Vulnerability analysis; Factor analysis,People per square mile of land area,Spatial regression,United States,Small Geographical Areas
310,424,Mehmood et al. (2021),Chemosphere,Confirmed COVID-19 cases,Middle East,Pakistan,Provinces,3,"June 1  - July 31, 2020",No association,Climate factors; Correlation; COVID-19; Geoinformation; GLM model; GRA; PM2.5; Air Pollutants; Air Pollution; Cities; Humans; Pakistan; Pandemics; Particulate Matter; SARS-CoV-2; Socioeconomic Factors; Islamabad; Punjab; Air pollution; Health risks; Particle size analysis; Population distribution; Population dynamics; Population statistics; Risk management; Generalized linear model; Geospatial techniques; Grey relational analyses (GRA); PM2.5 concentration; Population densities; Socio-economic factor; Spatiotemporal variability; Suspended particulates;     air temperature; atmospheric pollution; capital city; dew point; disease prevalence; epidemic; health risk; humidity; population density; socioeconomic status; spatiotemporal analysis; wind velocity,People per square kilometer of land area,Poisson,Pakistan,Large Geographical Areas
311,425,Sharif and Kanti (2020),Epidemiology and Infection,Confirmed COVID-19 cases,Asia,Bangladesh,Cities,8,"March 7 - August 14, 2020",Positive,"Bangladesh; COVID-19; mutation frequency; population density; temperature; UV index; Adolescent; Adult; Aged; Aged, 80 and over; Bangladesh; Child; Child, Preschool; Female; Humans; Infant; Infant, Newborn; Male; Middle Aged; Mutation; Population Density; SARS-CoV-2; Weather; Young Adult;",People per square kilometer of land area,Correlation analysis,Bangladesh,Small Geographical Areas
312,426,Zheng et al. (2021),International Journal of Environmental Research and Public Health,cummulative COVID-19 cases,Asia,China,Prefectures,139,"January 23 - March 3, 2020",No association,COVID-19; Epidemic prevention and control; Epidemic spreading; Population migration;China; Cities; Epidemics; Humans; SARS-CoV-2; disease control; disease spread; disease transmission; epidemic; population migration; geographic distribution; health care cost; human; medical information; perception; population density,People per square kilometer of land area,OLS,China,Small Geographical Areas
314,428,Yusuf and Saud (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,World,Asia,Provinces,43,"December 31, 2019 - January 4, 2021",No association,China; Covid-19; Covid-19 mortality; Economic recovery; Henry Kissinger; Population density; Population reduction; Saudi Arabia; comparative study; correlation; economic impact; epidemic; infectivity; mortality; pandemic;,People per square kilometer of land area,OLS,"Saudi Arabia, China",Large Geographical Areas
315,429,Ciupa y Suligowski (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,Europe,Poland,Counties,380,"March 4, 2020 - March 31, 2021",Positive,COVID-19 cases and deaths; Green-blue spaces; Poland; Population density; Relationships; Cities; COVID-19; Humans; Pandemics; Poland; Population Density; SARS-CoV-2; greenspace; spatial variation,People per square kilometer of land area,OLS,Poland,Small Geographical Areas
316,430,Díaz-Castro et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,North America,Mexico,States,32,"March 1 - August 31, 2020",Negative,Doubling time; Health policy; SARS-CoV-2; COVID-19; Health Policy; Humans; Longitudinal Studies; Mexico; Pandemics; Population Density; Retrospective Studies; Socioeconomic Factors; economic impact; epidemic; health policy; panel data; policy implementation; severe acute respiratory syndrome,People per square kilometer of land area,OLS,Mexico,Large Geographical Areas
319,433,Hu et al. (2021),Sustainable Cities and Society,"Cases/100,000",North America,United States,counties,3108,"March 1 - 31 December, 2020",Positive,COVID-19; Generalized additive model; Human mobility; Mobile device location data; Non-pharmaceutical interventions; Racial/ethnic disparities; Additives; Generalized additive model; Health outcomes; Human mobility; Infection rates; Location data; Mobile device location data; Non-pharmaceutical interventions; Racial difference; Racial/ethnic disparity,People per square mile of land area,Generalized additive model,United States,Small Geographical Areas
321,435,Kianfar et al. (2021),Spatial and Spatio-temporal Epidemiology,Prevalence,World,World,countries,NA,"March 1, 2020 - February 28, 2021",Positive,"Artificial neural network; COVID-19; GIS; Spatio-temporal analysis; Variable importance analysis; Algorithms; Humans; Neural Networks, Computer; Prevalence; SARS-CoV-2;  mortality rate; multilayer perceptron; population density; unemployment; vaccination; algorithm; prevalence",People per square mile of land area,Machine learning model,NA,Large Geographical Areas
